Soil Type,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha),Irrigation Method,,label
Alkaline,8.110410649,1.561613109,38.56020142,11.26181745,42.17385032,Drip Irrigation,,Pulses
Alkaline,8.40071505,1.349206009,20.73490759,19.37556557,40.07848898,Tube Well,,Barley
Black lava soil,7.169487473,1.742530647,27.71651192,21.69496757,42.28124744,Sprinkler Irrigation,,Barley
Black lava soil,6.481889749,2.023746734,28.75464078,11.63553049,42.02106433,Tube Well,,Mustard
Loamy,8.248715842,2.928851172,29.48284388,13.80473649,50.47921751,Sprinkler Irrigation,,Citrus
Nitrogenous,7.417184295,2.039288515,19.35632953,22.29084057,35.10139388,Sprinkler Irrigation,,Gram
Alkaline,8.113636911,1.394919749,32.19289645,13.14986686,45.32688136,Sprinkler Irrigation,,Sugarcane
Clay,7.146553716,2.42777783,38.24740447,25.3530528,36.35198765,Sprinkler Irrigation,,Pomegranate
Black lava soil,7.788225673,1.245722016,30.92485288,22.26378176,48.53664905,Canal Irrigation,,Chilli
Saline,7.104550309,1.610073527,35.40992405,13.25211894,37.92393116,Tube Well,,Pomegranate
Loamy,7.230619581,1.872526515,31.28085303,25.96655503,36.14129593,Sprinkler Irrigation,,Coriander
Saline,7.786003139,1.647635782,22.31207602,19.2754771,37.77028143,Tube Well,,Onion
Nitrogenous,7.375692073,2.313306819,30.22781941,23.11703569,43.51720067,Sprinkler Irrigation,,Fennel
Saline,8.286867108,2.228344005,22.51920593,15.40893917,46.61372233,Drip Irrigation,,Mustard
Loamy,7.944518561,2.286872211,23.61847792,13.55846191,41.46357741,Tube Well,,Chilli
Loamy,7.262102278,1.586944004,26.5649295,13.24722018,39.62064275,Drip Irrigation,,Oilseeds
Sandy,8.46757702,2.407750511,29.75955746,19.08424764,38.21663433,Canal Irrigation,,Oilseeds
Chalky (Calcareous),7.932034991,2.153067277,28.84470232,14.04062648,49.71764441,Sprinkler Irrigation,,Cotton
Clay,7.85817004,3.162349457,27.35526619,24.78652411,39.46954682,Sprinkler Irrigation,,Cotton
Saline,7.704026423,2.275398786,32.22386904,15.87173159,40.74681741,Tube Well,,Bajra
Loamy,7.989228903,1.594735685,34.28487768,19.65776754,40.14387782,Sprinkler Irrigation,,Fennel
Alkaline,6.97990314,2.972597537,20.89456965,17.01166158,41.85105945,Sprinkler Irrigation,,Mango
Black lava soil,7.71856339,2.046027569,32.38120177,32.64963875,35.03203498,Sprinkler Irrigation,,Fenugreek
Black lava soil,7.481053459,3.194185996,35.92128323,23.61413447,40.55899579,Canal Irrigation,,Tomato
Alkaline,8.199743213,1.685672847,28.61243191,14.81845376,38.98269429,Tube Well,,Opium
Clay,7.397561668,2.015697933,38.03789153,19.89719721,41.44591837,Sprinkler Irrigation,,Garlic
