District,Soil Type,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha),Crop,Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare)
Alwar,Alkaline,8.110410649,1.561613109,38.56020142,11.26181745,42.17385032,Pulses,Drip Irrigation,6936.134039,7739.350476
Alwar,Alkaline,8.40071505,1.349206009,20.73490759,19.37556557,40.07848898,Barley,Tube Well,8087.602264,8487.712662
Hanumangarh,Black lava soil,7.169487473,1.742530647,27.71651192,21.69496757,42.28124744,Barley,Sprinkler Irrigation,10002.79758,10673.14744
Alwar,Black lava soil,6.481889749,2.023746734,28.75464078,11.63553049,42.02106433,Mustard,Tube Well,12358.59781,12684.56108
Jodhpur,Loamy,8.248715842,2.928851172,29.48284388,13.80473649,50.47921751,Citrus,Sprinkler Irrigation,13144.77643,13109.02333
Bhilwara,Nitrogenous,7.417184295,2.039288515,19.35632953,22.29084057,35.10139388,Gram,Sprinkler Irrigation,13269.83042,12433.77781
Jodhpur,Alkaline,8.113636911,1.394919749,32.19289645,13.14986686,45.32688136,Sugarcane,Sprinkler Irrigation,9588.476682,8780.699677
Hanumangarh,Clay,7.146553716,2.42777783,38.24740447,25.3530528,36.35198765,Pomegranate,Sprinkler Irrigation,6516.406866,5629.616415
Nagaur,Black lava soil,7.788225673,1.245722016,30.92485288,22.26378176,48.53664905,Chilli,Canal Irrigation,7948.719494,7547.761289
Sri Ganganagar,Saline,7.104550309,1.610073527,35.40992405,13.25211894,37.92393116,Pomegranate,Tube Well,12430.00092,12472.01201
Jaipur,Loamy,7.230619581,1.872526515,31.28085303,25.96655503,36.14129593,Coriander,Sprinkler Irrigation,11504.13208,11728.23171
Hanumangarh,Saline,7.786003139,1.647635782,22.31207602,19.2754771,37.77028143,Onion,Tube Well,10512.70914,10598.17729
Sri Ganganagar,Nitrogenous,7.375692073,2.313306819,30.22781941,23.11703569,43.51720067,Fennel,Sprinkler Irrigation,5922.306322,5324.6806
